station_name,email,phone,lat,lon
Ashoknagar Police Station,ashoknagar.ps@police.in,08022943444,12.9733,77.6085
Cubbon Park Police Station,cubbonpark.ps@police.in,08022943567,12.9757,77.5961
Ulsoor Police Station,ulsoor.ps@police.in,08022943488,12.9834,77.6225
HAL Police Station,hal.ps@police.in,08022943490,12.9617,77.6712
Indiranagar Police Station,indiranagar.ps@police.in,08022943499,12.9692,77.6411
Frazer Town Police Station,frazertown.ps@police.in,08022943455,12.9980,77.6221
Ramamurthy Nagar Police Station,rmn.ps@police.in,08022943477,13.0117,77.6838
KG Halli Police Station,kghalli.ps@police.in,08022943466,13.0083,77.6174
Mahadevapura Police Station,mahadevapura.ps@police.in,08022943433,12.9880,77.7003
Marathahalli Police Station,marathahalli.ps@police.in,08022943422,12.9538,77.7010
Whitefield Police Station,whitefield.ps@police.in,08022943411,12.9698,77.7499
Kadugodi Police Station,kadugodi.ps@police.in,08022943412,12.9971,77.7584
Bellandur Police Station,bellandur.ps@police.in,08022943417,12.9304,77.6784
HAL Airport Traffic PS,airport.traffic@police.in,08022943419,12.9499,77.6680
Rajajinagar Police Station,rajajinagar.ps@police.in,08022943611,12.9913,77.5531
Basaveshwaranagar Police Station,basaveshwaranagar.ps@police.in,08022943612,12.9825,77.5382
Kamakshipalya Police Station,kamakshipalya.ps@police.in,08022943613,12.9731,77.5301
Vijayanagar Police Station,vijayanagar.ps@police.in,08022943614,12.9716,77.5412
Chandra Layout Police Station,chandralayout.ps@police.in,08022943615,12.9678,77.5204
Nandini Layout Police Station,nandini.ps@police.in,08022943616,13.0162,77.5425
Yeshwanthpur Police Station,yeshwanthpur.ps@police.in,08022943617,13.0172,77.5567
Subramanyanagar Police Station,subramanyanagar.ps@police.in,08022943618,13.0067,77.5578
Magadi Road Police Station,magadi.ps@police.in,08022943619,12.9722,77.5566
Hebbal Police Station,hebbal.ps@police.in,08022943701,13.0357,77.5912
RT Nagar Police Station,rtnagar.ps@police.in,08022943702,13.0195,77.6001
Sanjaynagar Police Station,sanjaynagar.ps@police.in,08022943703,13.0338,77.5814
Sadashivanagar Police Station,sadashiva.ps@police.in,08022943704,13.0090,77.5744
Yelahanka Police Station,yelahanka.ps@police.in,08022943705,13.0951,77.5967
Yelahanka New Town PS,yelahankanew.ps@police.in,08022943706,13.1042,77.5799
Bagalur Police Station,bagalur.ps@police.in,08022943707,13.1433,77.6534
Jakkur Police Station,jakkur.ps@police.in,08022943708,13.0821,77.6001
Vidyaranyapura Police Station,vidyaranyapura.ps@police.in,08022943709,13.0703,77.5510
Jayanagar Police Station,jayanagar.ps@police.in,08022943811,12.9250,77.5938
JP Nagar Police Station,jpnagar.ps@police.in,08022943812,12.9066,77.5859
Banashankari Police Station,banashankari.ps@police.in,08022943813,12.9244,77.5467
Basavanagudi Police Station,basavanagudi.ps@police.in,08022943814,12.9422,77.5730
Kumaraswamy Layout Police Station,kumaraswamy.ps@police.in,08022943815,12.9073,77.5648
Uttarahalli Police Station,uttarahalli.ps@police.in,08022943816,12.9091,77.5360
Konanakunte Police Station,konanakunte.ps@police.in,08022943817,12.8914,77.5581
Hulimavu Police Station,hulimavu.ps@police.in,08022943818,12.8892,77.5994
Seshadripuram Police Station,seshadripuram.ps@police.in,08022943901,12.9900,77.5748
High Grounds Police Station,highgrounds.ps@police.in,08022943902,12.9871,77.5894
Malleshwaram Police Station,malleshwaram.ps@police.in,08022943903,13.0072,77.5685
Shivaji Nagar Police Station,shivajinagar.ps@police.in,08022943904,12.9842,77.6040
Commercial Street Traffic PS,cstreet.traffic@police.in,08022943905,12.9779,77.6050
Vidhana Soudha PS,soudha.ps@police.in,08022943906,12.9797,77.5908
Whitefield Police Station,whitefield.ps@police.in,08022944001,12.9698,77.7499
Kadugodi Police Station,kadugodi.ps@police.in,08022944002,12.9971,77.7584
Varthur Police Station,varthur.ps@police.in,08022944003,12.9355,77.7455
Marathahalli Police Station,marathahalli.ps@police.in,08022944004,12.9538,77.7010
Bellandur Police Station,bellandur.ps@police.in,08022944005,12.9304,77.6784
Airport Traffic Police Station,airport.traffic@police.in,08022944111,12.9499,77.6680
MG Road Traffic Police Station,mgroad.traffic@police.in,08022944112,12.9753,77.6092
KR Puram Traffic Police Station,krpuram.traffic@police.in,08022944113,13.0047,77.6950
Silk Board Traffic Police Station,silkboard.traffic@police.in,08022944114,12.9177,77.6232
Hebbal Traffic Police Station,hebbal.traffic@police.in,08022944115,13.0347,77.5895
Peenya Traffic Police Station,peenya.traffic@police.in,08022944116,13.0300,77.5183
