description,crime_type
Laptop missing from my bag,Theft
Gold chain stolen at market,Theft
Laptop missing from my bag,Theft
My wallet was taken,Theft
Laptop missing from my bag,Theft
Laptop missing from my bag,Theft
Gold chain stolen at market,Theft
Gold chain stolen at market,Theft
My wallet was taken,Theft
Laptop missing from my bag,Theft
Gold chain stolen at market,Theft
My phone was stolen from my pocket,Theft
My wallet was taken,Theft
My phone was stolen from my pocket,Theft
My phone was stolen from my pocket,Theft
Laptop missing from my bag,Theft
Someone stole my bike,Theft
Someone stole my bike,Theft
Someone stole my bike,Theft
My wallet was taken,Theft
Someone stole my bike,Theft
My wallet was taken,Theft
My phone was stolen from my pocket,Theft
My wallet was taken,Theft
My phone was stolen from my pocket,Theft
Laptop missing from my bag,Theft
Laptop missing from my bag,Theft
Someone stole my bike,Theft
Laptop missing from my bag,Theft
My phone was stolen from my pocket,Theft
My wallet was taken,Theft
Gold chain stolen at market,Theft
My wallet was taken,Theft
Someone stole my bike,Theft
Gold chain stolen at market,Theft
My phone was stolen from my pocket,Theft
Gold chain stolen at market,Theft
Gold chain stolen at market,Theft
Gold chain stolen at market,Theft
My wallet was taken,Theft
Laptop missing from my bag,Theft
My wallet was taken,Theft
My phone was stolen from my pocket,Theft
Laptop missing from my bag,Theft
My phone was stolen from my pocket,Theft
Laptop missing from my bag,Theft
Someone stole my bike,Theft
Someone stole my bike,Theft
My wallet was taken,Theft
Gold chain stolen at market,Theft
My phone was stolen from my pocket,Theft
Gold chain stolen at market,Theft
My phone was stolen from my pocket,Theft
My phone was stolen from my pocket,Theft
Gold chain stolen at market,Theft
Someone stole my bike,Theft
My wallet was taken,Theft
Someone stole my bike,Theft
My phone was stolen from my pocket,Theft
Gold chain stolen at market,Theft
Someone punched me near the bus stop,Assault
Someone punched me near the bus stop,Assault
I was physically attacked,Assault
I was hit by an unknown person,Assault
I was hit by an unknown person,Assault
Someone punched me near the bus stop,Assault
Someone punched me near the bus stop,Assault
Someone punched me near the bus stop,Assault
There was a violent fight in the street,Assault
I was hit by an unknown person,Assault
Someone punched me near the bus stop,Assault
I was physically attacked,Assault
I was hit by an unknown person,Assault
I was hit by an unknown person,Assault
I was hit by an unknown person,Assault
There was a violent fight in the street,Assault
I was physically attacked,Assault
A group assaulted a man last night,Assault
There was a violent fight in the street,Assault
There was a violent fight in the street,Assault
Someone punched me near the bus stop,Assault
There was a violent fight in the street,Assault
I was physically attacked,Assault
I was physically attacked,Assault
There was a violent fight in the street,Assault
I was physically attacked,Assault
I was physically attacked,Assault
There was a violent fight in the street,Assault
There was a violent fight in the street,Assault
Someone punched me near the bus stop,Assault
I was hit by an unknown person,Assault
I was hit by an unknown person,Assault
There was a violent fight in the street,Assault
I was physically attacked,Assault
Someone punched me near the bus stop,Assault
I was physically attacked,Assault
There was a violent fight in the street,Assault
A group assaulted a man last night,Assault
A group assaulted a man last night,Assault
I was physically attacked,Assault
Someone punched me near the bus stop,Assault
A group assaulted a man last night,Assault
I was hit by an unknown person,Assault
There was a violent fight in the street,Assault
I was hit by an unknown person,Assault
Someone punched me near the bus stop,Assault
Someone punched me near the bus stop,Assault
There was a violent fight in the street,Assault
A group assaulted a man last night,Assault
A group assaulted a man last night,Assault
There was a violent fight in the street,Assault
I was physically attacked,Assault
I was hit by an unknown person,Assault
There was a violent fight in the street,Assault
I was hit by an unknown person,Assault
I was hit by an unknown person,Assault
I was physically attacked,Assault
A group assaulted a man last night,Assault
I was hit by an unknown person,Assault
I was hit by an unknown person,Assault
A man followed me constantly,Harassment
Online bullying happening on social media,Harassment
I am being stalked repeatedly,Harassment
A man followed me constantly,Harassment
A man followed me constantly,Harassment
Someone is sending me abusive messages,Harassment
I am being stalked repeatedly,Harassment
Someone is sending me abusive messages,Harassment
I am being stalked repeatedly,Harassment
A man followed me constantly,Harassment
Verbal harassment at workplace,Harassment
Someone is sending me abusive messages,Harassment
Online bullying happening on social media,Harassment
Verbal harassment at workplace,Harassment
A man followed me constantly,Harassment
Online bullying happening on social media,Harassment
Verbal harassment at workplace,Harassment
A man followed me constantly,Harassment
A man followed me constantly,Harassment
Online bullying happening on social media,Harassment
I am being stalked repeatedly,Harassment
Online bullying happening on social media,Harassment
A man followed me constantly,Harassment
Online bullying happening on social media,Harassment
A man followed me constantly,Harassment
A man followed me constantly,Harassment
Someone is sending me abusive messages,Harassment
I am being stalked repeatedly,Harassment
Someone is sending me abusive messages,Harassment
A man followed me constantly,Harassment
A man followed me constantly,Harassment
Verbal harassment at workplace,Harassment
Online bullying happening on social media,Harassment
Verbal harassment at workplace,Harassment
Someone is sending me abusive messages,Harassment
I am being stalked repeatedly,Harassment
Verbal harassment at workplace,Harassment
Verbal harassment at workplace,Harassment
Someone is sending me abusive messages,Harassment
Someone is sending me abusive messages,Harassment
Someone is sending me abusive messages,Harassment
I am being stalked repeatedly,Harassment
Verbal harassment at workplace,Harassment
A man followed me constantly,Harassment
I am being stalked repeatedly,Harassment
A man followed me constantly,Harassment
Online bullying happening on social media,Harassment
Online bullying happening on social media,Harassment
Online bullying happening on social media,Harassment
A man followed me constantly,Harassment
Verbal harassment at workplace,Harassment
Someone is sending me abusive messages,Harassment
Online bullying happening on social media,Harassment
A man followed me constantly,Harassment
Online bullying happening on social media,Harassment
Online bullying happening on social media,Harassment
Someone is sending me abusive messages,Harassment
Verbal harassment at workplace,Harassment
I am being stalked repeatedly,Harassment
I am being stalked repeatedly,Harassment
Fraud website scammed me,Cyber Crime
My bank credentials were stolen online,Cyber Crime
My bank credentials were stolen online,Cyber Crime
Fraud website scammed me,Cyber Crime
Fraud website scammed me,Cyber Crime
Fraud website scammed me,Cyber Crime
Fraud website scammed me,Cyber Crime
I received phishing emails,Cyber Crime
My social media account was hacked,Cyber Crime
Fraud website scammed me,Cyber Crime
Unknown login attempts detected,Cyber Crime
I received phishing emails,Cyber Crime
I received phishing emails,Cyber Crime
Fraud website scammed me,Cyber Crime
My bank credentials were stolen online,Cyber Crime
My social media account was hacked,Cyber Crime
My bank credentials were stolen online,Cyber Crime
Unknown login attempts detected,Cyber Crime
Unknown login attempts detected,Cyber Crime
My bank credentials were stolen online,Cyber Crime
Unknown login attempts detected,Cyber Crime
My bank credentials were stolen online,Cyber Crime
I received phishing emails,Cyber Crime
My social media account was hacked,Cyber Crime
I received phishing emails,Cyber Crime
Fraud website scammed me,Cyber Crime
My bank credentials were stolen online,Cyber Crime
My bank credentials were stolen online,Cyber Crime
Unknown login attempts detected,Cyber Crime
I received phishing emails,Cyber Crime
My bank credentials were stolen online,Cyber Crime
I received phishing emails,Cyber Crime
Fraud website scammed me,Cyber Crime
Unknown login attempts detected,Cyber Crime
Unknown login attempts detected,Cyber Crime
I received phishing emails,Cyber Crime
My bank credentials were stolen online,Cyber Crime
I received phishing emails,Cyber Crime
Fraud website scammed me,Cyber Crime
My social media account was hacked,Cyber Crime
I received phishing emails,Cyber Crime
Unknown login attempts detected,Cyber Crime
Unknown login attempts detected,Cyber Crime
I received phishing emails,Cyber Crime
My social media account was hacked,Cyber Crime
My social media account was hacked,Cyber Crime
Unknown login attempts detected,Cyber Crime
Unknown login attempts detected,Cyber Crime
I received phishing emails,Cyber Crime
My social media account was hacked,Cyber Crime
